Bug Id,Training Time (s),Time (s),Total Time (s),25%,,,,,Time (s),Total Time (s),50%,,,,,Time (s),Total Time (s),75%,,,,,Time (s),Total Time (s),100%,,,,
,,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE
,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,
,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,
31880720,8.06,84.87,92.93,TRUE,TRUE,FALSE,FALSE,TRUE,261.41,269.47,TRUE,TRUE,FALSE,FALSE,TRUE,392.29,400.35,TRUE,TRUE,FALSE,FALSE,TRUE,519.62,527.68,TRUE,TRUE,FALSE,FALSE,TRUE
33969059,91.25,22.54,113.79,FALSE,FALSE,TRUE,TRUE,FALSE,48.85,140.1,FALSE,FALSE,TRUE,TRUE,FALSE,67.19,158.44,FALSE,FALSE,TRUE,TRUE,FALSE,92.96,184.21,FALSE,FALSE,TRUE,TRUE,FALSE
34311586,0.46,3.77,4.23,FALSE,FALSE,FALSE,FALSE,FALSE,7.86,8.32,FALSE,FALSE,TRUE,TRUE,FALSE,11.06,11.52,FALSE,FALSE,TRUE,TRUE,FALSE,14.74,15.2,FALSE,FALSE,TRUE,TRUE,FALSE
34673164,2.46,115.34,117.8,TRUE,TRUE,TRUE,TRUE,TRUE,227.63,230.09,TRUE,TRUE,TRUE,TRUE,TRUE,345.22,347.68,TRUE,TRUE,TRUE,TRUE,TRUE,409.47,411.93,TRUE,TRUE,TRUE,TRUE,TRUE
41596619,0.67,1.5,2.17,FALSE,FALSE,FALSE,FALSE,FALSE,2.78,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,4.18,4.85,FALSE,FALSE,FALSE,FALSE,FALSE,5.71,6.38,FALSE,FALSE,FALSE,FALSE,FALSE
41823068,5.02,129.84,134.86,FALSE,FALSE,FALSE,FALSE,TRUE,253.24,258.26,FALSE,FALSE,FALSE,FALSE,TRUE,381.43,386.45,FALSE,FALSE,FALSE,FALSE,TRUE,503.5,508.52,FALSE,FALSE,FALSE,FALSE,TRUE
41999686,0.7,798.43,799.13,FALSE,FALSE,FALSE,FALSE,TRUE,1595.9,1596.6,FALSE,FALSE,FALSE,FALSE,TRUE,2454.95,2455.65,FALSE,FALSE,FALSE,FALSE,TRUE,3238.49,3239.19,FALSE,FALSE,FALSE,FALSE,TRUE
42472447,5.07,220.55,225.62,TRUE,FALSE,TRUE,FALSE,FALSE,440.07,445.14,FALSE,FALSE,FALSE,TRUE,TRUE,659.33,664.4,FALSE,FALSE,FALSE,TRUE,TRUE,876.44,881.51,FALSE,FALSE,FALSE,TRUE,TRUE
43055289,3.02,4.51,7.53,FALSE,FALSE,FALSE,FALSE,FALSE,8.08,11.1,FALSE,FALSE,FALSE,FALSE,FALSE,10.88,13.9,FALSE,FALSE,FALSE,FALSE,FALSE,14.73,17.75,FALSE,FALSE,FALSE,FALSE,FALSE
46359741,1.17,1.07,2.24,FALSE,FALSE,FALSE,FALSE,FALSE,2.18,3.35,FALSE,FALSE,FALSE,FALSE,FALSE,3.58,4.75,FALSE,FALSE,FALSE,FALSE,FALSE,5.94,7.11,FALSE,FALSE,FALSE,FALSE,FALSE
47704695,49.29,271.77,321.06,FALSE,FALSE,FALSE,FALSE,FALSE,473.31,522.6,TRUE,TRUE,FALSE,FALSE,FALSE,713.04,762.33,TRUE,TRUE,FALSE,FALSE,FALSE,810.76,860.05,TRUE,TRUE,FALSE,FALSE,FALSE
47735201,55740.01,119.73,55859.74,FALSE,FALSE,FALSE,FALSE,FALSE,187.46,55927.47,FALSE,FALSE,FALSE,FALSE,FALSE,292.29,56032.3,FALSE,FALSE,FALSE,FALSE,FALSE,440.38,56180.39,FALSE,FALSE,FALSE,FALSE,FALSE
48221692,4.15,2.84,6.99,FALSE,FALSE,FALSE,TRUE,FALSE,5.61,9.76,FALSE,FALSE,FALSE,TRUE,FALSE,9.94,14.09,FALSE,FALSE,FALSE,TRUE,FALSE,16.26,20.41,FALSE,FALSE,FALSE,TRUE,FALSE
48251943,5.16,1.57,6.73,FALSE,FALSE,FALSE,TRUE,FALSE,5.09,10.25,FALSE,FALSE,FALSE,TRUE,FALSE,5.83,10.99,FALSE,FALSE,FALSE,TRUE,FALSE,11.55,16.71,FALSE,FALSE,FALSE,TRUE,FALSE
48385830,262.4,107.05,369.45,FALSE,FALSE,FALSE,FALSE,FALSE,240.98,503.38,FALSE,FALSE,FALSE,FALSE,FALSE,329.52,591.92,FALSE,FALSE,FALSE,FALSE,FALSE,442.82,705.22,FALSE,FALSE,FALSE,FALSE,FALSE
48486598,6.31,6.26,12.57,TRUE,TRUE,TRUE,TRUE,TRUE,12.3,18.61,TRUE,TRUE,TRUE,TRUE,TRUE,15.19,21.5,TRUE,TRUE,TRUE,TRUE,TRUE,20.98,27.29,TRUE,TRUE,TRUE,TRUE,TRUE
48976413,12.42,14.66,27.08,FALSE,FALSE,FALSE,TRUE,FALSE,28.36,40.78,FALSE,FALSE,FALSE,TRUE,FALSE,41.09,53.51,FALSE,FALSE,FALSE,TRUE,FALSE,57.55,69.97,FALSE,FALSE,FALSE,TRUE,FALSE
50306988,8.42,2.61,11.03,FALSE,FALSE,FALSE,FALSE,FALSE,5.02,13.44,FALSE,FALSE,FALSE,FALSE,FALSE,7.84,16.26,FALSE,FALSE,FALSE,FALSE,FALSE,10.05,18.47,FALSE,FALSE,FALSE,FALSE,FALSE
50338865,3.2,30.67,33.87,FALSE,FALSE,FALSE,TRUE,FALSE,62.72,65.92,FALSE,FALSE,FALSE,TRUE,FALSE,94.95,98.15,FALSE,FALSE,FALSE,TRUE,FALSE,128.01,131.21,FALSE,FALSE,FALSE,TRUE,FALSE
50555434,188.29,30.2,218.49,FALSE,FALSE,FALSE,FALSE,FALSE,61.46,249.75,FALSE,FALSE,FALSE,FALSE,FALSE,89.5,277.79,FALSE,FALSE,FALSE,FALSE,FALSE,119.25,307.54,FALSE,FALSE,FALSE,FALSE,FALSE
50914860,27.46,4007.24,4034.7,FALSE,TRUE,FALSE,TRUE,TRUE,4687.01,4714.47,FALSE,TRUE,FALSE,TRUE,TRUE,6152.94,6180.4,FALSE,TRUE,FALSE,TRUE,TRUE,7063.71,7091.17,FALSE,TRUE,FALSE,TRUE,TRUE
51185079,0.48,1579.69,1580.17,FALSE,FALSE,FALSE,FALSE,TRUE,3107.72,3108.2,FALSE,FALSE,FALSE,FALSE,TRUE,4480.18,4480.66,FALSE,FALSE,FALSE,FALSE,TRUE,5620.67,5621.15,FALSE,FALSE,FALSE,FALSE,TRUE
51581521,116.07,1232.72,1348.79,FALSE,FALSE,FALSE,FALSE,FALSE,1828.28,1944.35,FALSE,FALSE,FALSE,FALSE,FALSE,2870.54,2986.61,FALSE,FALSE,FALSE,FALSE,FALSE,3301.91,3417.98,FALSE,FALSE,FALSE,FALSE,FALSE
